Waktu,Hs,Tp,Tm01,Tm02,Mdir
2011-01-01 00:00,0.410,4.10,2.51,2.00,328.6
2011-01-01 01:00,0.430,4.14,2.55,2.05,329.5
2011-01-01 02:00,0.460,4.22,2.61,2.11,330.1
2011-01-01 03:00,0.500,4.33,2.68,2.18,330.3
2011-01-01 04:00,0.533,4.43,2.77,2.26,331.4
2011-01-01 05:00,0.560,4.49,2.85,2.33,332.6
2011-01-01 06:00,0.580,4.52,2.92,2.40,333.7
2011-01-01 07:00,0.587,4.57,2.95,2.43,334.5
2011-01-01 08:00,0.590,4.61,2.98,2.44,335.2
2011-01-01 09:00,0.590,4.65,2.99,2.45,335.9
2011-01-01 10:00,0.570,4.70,3.06,2.49,338.7
2011-01-01 11:00,0.547,4.75,3.17,2.57,341.7
2011-01-01 12:00,0.520,4.78,3.32,2.69,345.0
2011-01-01 13:00,0.500,4.79,3.49,2.90,347.6
2011-01-01 14:00,0.480,4.80,3.64,3.12,349.8
2011-01-01 15:00,0.460,4.81,3.77,3.33,351.5
2011-01-01 16:00,0.447,4.81,3.80,3.36,352.6
2011-01-01 17:00,0.437,4.81,3.80,3.34,353.5
2011-01-01 18:00,0.430,4.80,3.76,3.27,354.0
2011-01-01 19:00,0.430,4.79,3.53,2.94,352.9
2011-01-01 20:00,0.440,4.77,3.29,2.66,350.6
2011-01-01 21:00,0.460,4.74,3.05,2.44,347.3
2011-01-01 22:00,0.473,4.67,3.00,2.41,345.4
2011-01-01 23:00,0.483,4.59,2.97,2.40,343.9
2011-01-02 00:00,0.490,4.52,2.98,2.41,342.6
2011-01-02 01:00,0.510,4.48,2.97,2.42,340.3
2011-01-02 02:00,0.537,4.46,2.97,2.43,337.7
2011-01-02 03:00,0.570,4.46,2.96,2.44,334.8
2011-01-02 04:00,0.590,4.47,2.98,2.46,333.5
2011-01-02 05:00,0.603,4.49,3.00,2.48,332.6
2011-01-02 06:00,0.610,4.51,3.03,2.51,332.0
2011-01-02 07:00,0.603,4.54,3.04,2.51,332.5
2011-01-02 08:00,0.590,4.56,3.07,2.51,333.5
2011-01-02 09:00,0.570,4.59,3.11,2.51,335.0
2011-01-02 10:00,0.543,4.60,3.19,2.57,336.9
2011-01-02 11:00,0.517,4.61,3.30,2.68,339.1
2011-01-02 12:00,0.490,4.62,3.44,2.84,341.6
2011-01-02 13:00,0.470,4.62,3.60,3.09,343.5
2011-01-02 14:00,0.450,4.62,3.71,3.29,345.0
2011-01-02 15:00,0.430,4.62,3.78,3.43,346.1
2011-01-02 16:00,0.410,4.61,3.81,3.48,347.0
2011-01-02 17:00,0.393,4.60,3.82,3.51,347.7
2011-01-02 18:00,0.380,4.59,3.81,3.51,348.4
2011-01-02 19:00,0.367,4.58,3.72,3.30,348.7
2011-01-02 20:00,0.360,4.57,3.51,2.96,347.9
2011-01-02 21:00,0.360,4.56,3.18,2.50,346.0
2011-01-02 22:00,0.367,4.54,2.93,2.28,342.7
2011-01-02 23:00,0.373,4.52,2.73,2.13,339.2
2011-01-03 00:00,0.380,4.49,2.60,2.04,335.6
2011-01-03 01:00,0.387,4.45,2.56,2.01,333.8
2011-01-03 02:00,0.397,4.41,2.55,2.01,332.8
2011-01-03 03:00,0.410,4.36,2.56,2.04,332.6
2011-01-03 04:00,0.430,4.35,2.59,2.07,332.3
